Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),Total Acceleration (m/s2),Total Acceleration (g)
0.3201945,0.706311,0.028731,9.921875,9.947025,4.075253,2.329392,10.656917,1.086332008
0.3221958,0.679974,0.03352,9.835681,9.859215,3.95958,2.822155,10.549175,1.075349134
0.3241971,0.639271,0.026337,9.759064,9.780015,3.751028,2.359166,10.424672,1.062657696
0.3261985,0.636877,0.009577,9.735122,9.755937,3.743399,0.861526,10.381576,1.058264628
0.3281998,0.615329,-0.014366,9.696813,9.716327,3.631894,358.662598,10.297776,1.049722324
0.3302012,0.61054,-0.023943,9.682447,9.701707,3.610807,357.754272,10.269044,1.046793476
0.3322025,0.629694,-0.043097,9.672871,9.69344,3.73329,356.084717,10.259468,1.045817329
0.3342039,0.653637,-0.095771,9.658504,9.68107,3.912765,351.664337,10.21637,1.041424057
0.3362052,0.665608,-0.102954,9.648928,9.672406,3.992971,351.207367,10.211582,1.040935984
0.3382066,0.658426,-0.093377,9.644139,9.66704,3.944566,351.928253,10.209188,1.040691947
0.3402079,0.632089,-0.095771,9.646533,9.667694,3.791631,351.384338,10.182851,1.038007238
0.3422145,0.605752,-0.122108,9.634562,9.654358,3.669811,348.602997,10.118206,1.031417533
0.3442158,0.588992,-0.119714,9.634562,9.653291,3.569687,348.511017,10.10384,1.029953109
0.3462171,0.533923,-0.114925,9.636956,9.65242,3.243651,347.8526,10.055954,1.025071764
0.3482181,0.517163,-0.114925,9.648928,9.663461,3.142736,347.471191,10.051166,1.02458369
0.3502195,0.500403,-0.124502,9.670476,9.684215,3.052296,346.02829,10.046377,1.024095515
0.3522208,0.493221,-0.153234,9.708784,9.722512,3.045104,342.741058,10.048771,1.024339551
0.3542232,0.481249,-0.172388,9.72315,9.736579,3.009538,340.292023,10.032011,1.022631091
0.3562246,0.476461,-0.201119,9.754275,9.767976,3.034994,337.114868,10.029617,1.022387054
0.3582259,0.457306,-0.21309,9.751882,9.764924,2.961608,335.015961,9.996098,1.018970234
0.3602225,0.450124,-0.220273,9.75667,9.769531,2.940314,333.924652,9.986521,1.017993986
0.3622238,0.418998,-0.222668,9.73991,9.751461,2.789024,332.012543,9.93624,1.012868502
0.3642252,0.418998,-0.203513,9.766247,9.777349,2.730723,334.093506,9.981732,1.01750581
0.3662249,0.409421,-0.196331,9.771035,9.78158,2.660651,334.380798,9.984125,1.017749745
0.3682262,0.402238,-0.172388,9.747093,9.756912,2.570702,336.801422,9.976943,1.017017635
0.3702276,0.395055,-0.153234,9.780613,9.789787,2.480729,338.799774,10.022434,1.021654842
0.3722292,0.392661,-0.143656,9.787795,9.796721,2.446086,339.904755,10.0368,1.023119266
0.3742306,0.392661,-0.107742,9.809344,9.817792,2.377017,344.656219,10.094263,1.02897686
0.3762319,0.404632,-0.112531,9.828498,9.837467,2.446887,344.458405,10.120599,1.031661468
0.3782332,0.411815,-0.114925,9.833286,9.842577,2.489707,344.407196,10.130176,1.032637717
0.3802346,0.445335,-0.112531,9.852441,9.863142,2.669245,345.818878,10.185245,1.038251274
0.3822359,0.478855,-0.114925,9.897932,9.910174,2.848195,346.504272,10.261862,1.046061366
0.3842373,0.502798,-0.117319,9.914692,9.928126,2.980978,346.865967,10.300171,1.049966463
0.3862386,0.533923,-0.122108,9.960183,9.975231,3.147529,347.118011,10.371998,1.057288277
0.38824,0.553077,-0.119714,9.972155,9.988198,3.247934,347.786713,10.405518,1.060705199
0.390241,0.567443,-0.088588,9.996098,10.012583,3.28831,351.126709,10.474953,1.06778318
0.3922423,0.57702,-0.064645,10.00328,10.020117,3.321955,353.607635,10.515655,1.071932212
0.3942437,0.574626,-0.052674,10.012857,10.02947,3.298238,354.762512,10.534809,1.073884709
0.396245,0.533923,-0.028731,10.024829,10.039078,3.053066,356.9198,10.530021,1.073396636
0.3982464,0.536318,0.011971,10.022434,10.03678,3.063819,1.278711,10.570723,1.077545668
0.4002477,0.529135,0.007183,10.029617,10.043568,3.020187,0.777723,10.565935,1.077057594
0.4022456,0.541106,0.01676,10.05356,10.068126,3.082293,1.774081,10.611426,1.081694801
0.404247,0.541106,0.019154,10.07032,10.084866,3.077653,2.027323,10.63058,1.083647299
0.4062484,0.517163,0.011971,10.079897,10.093163,2.937916,1.326054,10.609031,1.081450663
0.4082497,0.493221,-0.009577,10.079897,10.091961,2.801839,358.887604,10.563541,1.076813558
0.4102511,0.474066,-0.011971,10.094262,10.105395,2.689772,358.553436,10.556357,1.076081244
0.4122524,0.481249,-0.002394,10.101445,10.112903,2.727639,359.714935,10.5803,1.078521916
0.414253,0.517163,-0.01676,10.118205,10.131427,2.927503,358.143829,10.618608,1.082426911
0.4162543,0.521952,-0.023943,10.111023,10.124515,2.958235,357.373596,10.609032,1.081450765
0.4182557,0.548289,-0.01676,10.108628,10.123501,3.106145,358.249146,10.640157,1.084623547
0.4202573,0.586597,-0.023943,10.084685,10.10176,3.331783,357.662689,10.647339,1.085355657
0.4222586,0.598569,-0.026337,10.082292,10.100079,3.400876,357.480621,10.654524,1.086088073
0.42426,0.591386,-0.023943,10.0368,10.054236,3.374812,357.68161,10.604243,1.080962589
0.426261,0.584203,-0.043097,9.998491,10.015636,3.352987,355.780914,10.539597,1.074372783
0.4282623,0.574626,-0.03352,9.981731,9.998314,3.300314,356.66153,10.522837,1.072664322
0.4302637,0.569837,-0.023943,9.938635,9.954987,3.284437,357.594025,10.484529,1.068759327
0.4322661,0.567443,-0.019154,9.900327,9.916594,3.282231,358.066711,10.448616,1.065098471
0.4342675,0.56026,-0.011971,9.878778,9.894659,3.246668,358.775909,10.427067,1.062901835
0.4362688,0.555472,-0.023943,9.838076,9.853774,3.234585,357.531891,10.369605,1.057044343
0.4382698,0.553077,-0.05028,9.828498,9.844176,3.234101,354.805573,10.331295,1.053139144
0.4402712,0.548289,-0.059857,9.80695,9.822447,3.218932,353.769684,10.295382,1.049478287
0.4422725,0.521952,-0.069434,9.783007,9.797167,3.080895,352.422577,10.235525,1.043376656
0.4442738,0.490826,-0.093377,9.754275,9.767063,2.932247,349.228546,10.151724,1.034834251
0.4462752,0.469278,-0.105348,9.751882,9.763735,2.823552,347.347443,10.115812,1.031173496
0.4482765,0.438152,-0.098165,9.766247,9.776564,2.632398,347.371765,10.106234,1.030197146
0.4502791,0.402238,-0.105348,9.751882,9.760742,2.441521,345.323608,10.048772,1.024339653
0.4522804,0.383084,-0.105348,9.749487,9.757579,2.333555,344.623749,10.027223,1.022143017
